순위,종목 코드,매수 확률
1,'432320,0.49684831500053406
2,'395400,0.4956202208995819
3,'348950,0.49519655108451843
4,'377190,0.4949912130832672
5,'396690,0.49491679668426514
6,'330590,0.4948962330818176
7,'400760,0.4948185980319977
8,'357430,0.4947703778743744
9,'338100,0.49466651678085327
10,'357250,0.4945521950721741
11,'404990,0.49451836943626404
12,'034830,0.49438604712486267
13,'293940,0.49421536922454834
14,'210980,0.49419981241226196
15,'350520,0.4941980242729187
16,'417310,0.49417611956596375
17,'088260,0.4941580593585968
18,'015020,0.49414920806884766
19,'365550,0.49393221735954285
20,'145270,0.49386081099510193
21,'357120,0.4937177896499634
22,'334890,0.493528813123703
23,'123890,0.49274852871894836
24,'204210,0.4908575415611267
